"store","min_date","max_date","station","name","lat","lon","dist"
13,"2017-03-15","2019-03-30","UKM00003740","LYNEHAM",51.505,-1.993,80.1860699265261
13,"2017-03-15","2019-03-30","UKE00156836","BOSCOMBE DOWN",51.1614,-1.7531,84.8290501342349
13,"2017-03-15","2019-03-30","UKM00003862","BOURNEMOUTH",50.78,-1.843,87.2859965982338
13,"2017-03-15","2019-03-30","UKE00105923","HURN",50.7789,-1.8339,87.9148603551473
13,"2017-03-15","2019-03-30","UKE00105869","SWANAGE",50.6139,-1.9581,90.3535769608638
13,"2017-03-15","2019-03-30","UKW00015038","FAIRFORD",51.6833,-1.7833,103.373059298841
13,"2017-03-15","2019-03-30","UKE00105871","SLAPTON",50.2917,-3.6508,103.791219095204
13,"2017-03-15","2019-03-30","UKE00105924","EVERTON",50.7417,-1.5739,106.253011764081
13,"2017-03-15","2019-03-30","UKE00105925","LECKFORD",51.1231,-1.4381,106.716311753385
13,"2017-03-15","2019-03-30","UKE00105873","BUDE",50.8281,-4.5458,115.157000344888
13,"2017-03-15","2019-03-30","UKE00105870","PLYMOUTH: MOUNTBATTEN",50.3539,-4.1208,117.566480032583
13,"2017-03-15","2019-03-30","UKW00015036","OXFORD",51.75,-1.5833,118.868925022844
13,"2017-03-15","2019-03-30","UKE00105911","MALVERN",52.1117,-2.3067,119.467614205604
13,"2017-03-15","2019-03-30","UKW00015040","GREENHAM",51.3833,-1.2833,120.825944663799
13,"2017-03-15","2019-03-30","UKE00105914","LYONSHALL",52.2117,-2.9681,121.544191150036
13,"2017-03-15","2019-03-30","UKE00156872","PERSHORE COLLEGE",52.0994,-2.0583,125.822736254848
13,"2017-03-15","2019-03-30","UKE00156880","WIGHT ST CATHERINES POINT",50.575,-1.2956,132.002754819563
13,"2017-03-15","2019-03-30","UK000056225","OXFORD",51.7667,-1.2667,138.132040320257
13,"2017-03-15","2019-03-30","UKE00105922","WALLINGFORD",51.6031,-1.1081,139.859783339611
13,"2017-03-15","2019-03-30","UKE00105669","CWMYSTWYTH",52.35,-3.82,148.98502900784
13,"2017-03-15","2019-03-30","UKW00015037","UPPER HEYFORD",51.9333,-1.25,149.383799466458
13,"2017-03-15","2019-03-30","UKE00105909","WELLESBOURNE",52.2058,-1.6031,153.177667667465
13,"2017-03-15","2019-03-30","UKM00003502","ABERPORTH",52.133,-4.567,157.85035926638
13,"2017-03-15","2019-03-30","UKE00105866","ABERPORTH",52.1389,-4.5717,158.541145621083
13,"2017-03-15","2019-03-30","UKE00105912","HALESOWEN",52.4367,-2.075,158.891953787946
13,"2017-03-15","2019-03-30","UKE00105872","ST MAWGAN",50.4367,-4.9989,161.727662536302
13,"2017-03-15","2019-03-30","UKE00105867","GOGERDDAN",52.4317,-4.0197,162.976289257579
13,"2017-03-15","2019-03-30","UK000000000","CET CENTRAL ENGLAND",52.42,-1.83,164.500871716109
13,"2017-03-15","2019-03-30","UKE00105672","DALE FORT",51.7,-5.15,164.61627425384
13,"2017-03-15","2019-03-30","FRE00104937","PTE DE LA HAGUE",49.7253,-1.9394,171.181777602463
13,"2017-03-15","2019-03-30","UKM00003772","HEATHROW",51.478,-0.461,178.754586522253
13,"2017-03-15","2019-03-30","UKM00003414","SHAWBURY",52.8,-2.67,188.064832330327
13,"2017-03-15","2019-03-30","UKE00107663","GUERNSEY: AIRPORT",49.4331,-2.6,189.228338936543
13,"2017-03-15","2019-03-30","UK000003808","CAMBORNE",50.2167,-5.3167,193.580832863691
13,"2017-03-15","2019-03-30","UKW00015042","BRUNTINGTHORPE",52.4667,-1.1167,196.621739628622
13,"2017-03-15","2019-03-30","UKE00105908","NEWTOWN LINFORD",52.68,-1.2158,211.129410776834
13,"2017-03-15","2019-03-30","UKE00105910","KEELE",52.9981,-2.27,214.350801621967
13,"2017-03-15","2019-03-30","UKE00105880","JERSEY: AIRPORT",49.2167,-2.2,218.425141958858
13,"2017-03-15","2019-03-30","UKE00105882","ALWEN",53.0608,-3.5539,219.647251306785
13,"2017-03-15","2019-03-30","UKE00105915","HAMPSTEAD",51.5608,0.1789,223.976876678939
13,"2017-03-15","2019-03-30","UKE00156876","SUTTON BONINGTON",52.8358,-1.2494,224.262348144707
13,"2017-03-15","2019-03-30","UKE00105864","LOGGERHEADS: COLOMENDY CENTRE",53.15,-3.1958,226.416684423725
13,"2017-03-15","2019-03-30","UKE00105920","EASTBOURNE",50.7589,0.285,231.337864413505
13,"2017-03-15","2019-03-30","UKE00105863","HAWARDEN BRIDGE",53.2167,-3.0281,233.332125994551
13,"2017-03-15","2019-03-30","UKW00015018","BASSINGBOURN",52.1,0.05,235.166241983385
13,"2017-03-15","2019-03-30","UKW00035054","WEST MALLING",51.2833,0.4,235.291785332201
14,"2017-03-15","2019-03-30","UKE00105909","WELLESBOURNE",52.2058,-1.6031,12.8957485005267
14,"2017-03-15","2019-03-30","UKW00015037","UPPER HEYFORD",51.9333,-1.25,30.8884586879414
14,"2017-03-15","2019-03-30","UKW00015042","BRUNTINGTHORPE",52.4667,-1.1167,36.6840217034262
14,"2017-03-15","2019-03-30","UK000000000","CET CENTRAL ENGLAND",52.42,-1.83,37.9311220376989
14,"2017-03-15","2019-03-30","UKE00156872","PERSHORE COLLEGE",52.0994,-2.0583,45.0657850941604
14,"2017-03-15","2019-03-30","UK000056225","OXFORD",51.7667,-1.2667,48.3558879885016
14,"2017-03-15","2019-03-30","UKW00015036","OXFORD",51.75,-1.5833,50.4607253604987
