German,English
der Entwurf,"sketch, draft"
errichten,"to build, erect"
die Malerei,painting
die Moderne,modern age
der Vordergrund,foreground
die Zeichnung,drawing
auftreten,"to appear, occur"
der Auftritt,"appearance, entrance"
begleiten,to accompany
die Bühne,stage
die Reihe,"row, line"
die Szene,scene
der Akt,act
aufführen,to perform
die Aufführung,performance
entgehen,to escape
flüstern,to whisper
inszenieren,"to stage (a show, performance)"
die Inszenierung,staging; production; enactment; mise-en-scene
das Orchester,Philharmonic Orchestra
die Probe,rehearsal
die Umsetzung,"transfer, conversion, implementation"
die Aufnahme,"reception, recording, snapshot"
aufnehmen,"to record, include"
ausmachen,"to recognise, discern; douse (e.g. a fire); agree"
die Platte,"disk, record"
der Sprecher,speaker
der Hörer,"listener, receiver"
medial,by the media (adj)
das Medium,medium
die Reichweite,"reach, range"
Angebot und Nachfrage,supply and demand
erzeugen,"to produce, to create, to manufacture"
die Konkurrenz,competition
dreist,"bold, brazen"
die Massenproduktion,mass production
die Ermächtigung,authorization (legal)
der Verlust,loss
der Zinssatz,interest rate
Gewinn erzielen,to make profit
die Einkommenssteuer,income tax
der Großhandel,wholesale
der Aktionär,shareholder / stockholder (big)
die Landwirtschaft,agriculture
der Maschinenbau,mechanical engineering
konkurrenzfähig,competitive
der Umsatz,turnover
diesbezüglich,"regarding this subject, concerning this matter"
das Wirtschaftswachstum,economic growth
die Wohlstandgesellschaft,affluent society
die freie Marktwirtschaft,free market economy
das Defizit,deficit
Preise herabsetzen,to lower prices
der Wirtschaftskreislauf,business cycle
die Flaute,economic stagnation
die Bodenschätze,mineral resources
der Beschwerdebrief,"written complaint, letter of complaint"
der Haushaltsplan,budget plan
die Hochkonjunktur,economic boom
zurückerstatten,"to reimburse, pay back"
die Konjunktur,economic situation
der Lebensunterhalt,livelihood
rückläufige Tendenz,downward trend
der Leitzins,federal interest base rate
die Wirtschaftstätigkeit,economic activity
überschüssig,"surplus, excessive, wasteful"
Preise erhöhen,to raise prices
die Subvention,subsidy
einführen,"to introduce, launch (a new product, zB)"
die Einkünfte ,earnings
der Aufschwung,economic upturn
verstaatlichen,to nationalize
die Vollbeschäftigung,full employment
der Zinsanstieg,rise in interest rates
ansteigende Tendenz,upward trend
in eine Krise geraten,to enter a crisis
die Vermehrung,"reproduction (biological), multiplication"
betragen ,"to account for, to be, to add up to (numbers)"
die Lagerräumung,clearance
überhöhen,"to inflate, exaggerate"
die Vertrautheit,familiarity
der Bekanntheitsgrad,degree of fame
die Steuerlast,tax burden
der Auftrag,order
die Anfrage,inquiry
die Beschwerde,complaint
einen Termin einhalten,to keep an appointment
einen Termin vereinbaren,to make an appointment
das Steuerparadies,tax haven
der Konkurrent,competitor
die Sparte,line of business
der Marktanteil,market share
der Prozentsatz,percentage
der Rabatt,discount
die Mahnung,"warning, reminder"
eine Frist einhalten,to meet a deadline
zahlungsunfähig,insolvent
rentabel,profitable
die Lastschrift,debit note (directly charged to your business account)
die Befehlskette,chain of command
die Marktkräfte,market forces
die Rentabilität,profitability
eingliedern,"to incorporate, integrate"
das Darlehen,"loan, credit"
einzahlen,to pay in
der Vorreiter sein,to be first on the market
der Rettungsfonds,bail out
die Augenweide,"feast for the eyes, eye candy"
sich Geld leihen,to borrow money
vertraulich,confidential
Geld auf ein Konto überweisen,to transfer money into an account
der Ertrag,"income, yield, return"
Geld anlegen (in),to invest money in...
handeln mit,to trade/negociate with
erschwinglich,affordable
spekulieren an,to speculate
die Konsumgesellschaft,consumer society
die Abwertung,devaluation
die Kurzfassung,abbreviated version
das Außenhandelsdefizit,trade deficit (foreign trade)
der Kapitalanleger,investor
die Produktionsstätte,place of production
der Dauerauftrag,standing order [bank.]
die Handelsbilanz,balance of trade
der Kurs,"exchange rate, share price"
die Hypothek,mortgage
die Vertraulichkeit,confidentiality
mitbringen,to bring along
massengefertigt,mass produced
vorübergehend,"temporarily, passingly, transiently (going over)"
Alarm schlagen,to sound the alarm
der Nachwuchs,offspring
hierzulande,"around here, in these parts"
gewinnen,"to gain, attain"
statistisch gesehen,statistically speaking
voraussichtlich,"presumably, likely, expected"
die Kinderlosigkeit,state of being without children
der Geburtenrückgang,falling birth rate
der gegenwärtige Wandel,the current change
abschreckend,"off-putting, daunting"
der Teilzeitarbeitsplatz,part time job
der berufliche Aufstieg,career advancement
die Beförderung,promotion
ganztägig,full-time
die Vereinbarkeit,compatibility
zurückdrängen,"to push back, to repel"
die Altersabsicherung,security when you are old
gleichrangig,equally-ranking
kinderfeindlich,against kids
eine Priorität setzen,to set a priority
die Selbstverwirklichung,"self-realization, fulfillment"
vage,vague (verschwommen)
die Überbevölkerung,over-population
der Umweltschadstoff,environmental pollutant
die Belastung,"burden, pressure"
die Verheißung,promise (biblically fated)
die Beständigkeit,"consistency, stability"
der Gegenpol,opposite pole
die Spontaneität,spontaneity
ausleben,to live out (something)
die Disziplin,discipline
behaglich,"cozy, comfortable"
wehrlos,defenseless
niederschlagen,"to knock down, suppress"
kontrovers,controversial
leidenschaftlich,"passionate, keen"
übersehen,"to overlook, miss"
in Anlehnung an,"on the basis of, following (take something as example, with regard to)"
die Handlungserklärung,behavioral explanation
eine Eigenschaft besitzen,to have a certain characteristic
neigen zu,"to tend towards, be inclined to"
die Auffassung,"view, opinion, judgment"
