German,English
einen Irrtum begehen,to be mistaken
eine Straftat begehen,to commit a crime
eine Enttäuschung bereiten,to (cause) disappointment
Freude bereiten ,to cause joy (erfreuen)
zur Sprache bringen,to bring up; to mention (ansprechen)
zu Ende bringen,to end (beenden)
vor Gericht bringen,to bring to court (verklagen)
Ärger einbringen,"to cause anger, aggravation"
eine Pflicht erfüllen,to fulfill one's duty
Protest erheben,to lodge a protest
einen Kampf führen,"to fight (kämpfen, to wage a fight)"
eine Antwort geben,to answer (beantworten)
die Erlaubnis geben,to allow (erlauben)
die Gelegenheit geben (zu),to give the opportunity to (ermöglichen)
sich Mühe geben (mit),"to try hard, to take the trouble (sich bemühen)"
einen Rat geben,to give advice (raten)
zum Opfer fallen,to become a victim (Opfer werden)
eine Entscheidung fällen,to come to a decision (entscheiden)
Unterstützung finden,to find/gain support
Verständnis finden,to be understood (verstanden werden)
ein Gespräch führen,to have/conduct a conversation
eine Ehe führen,to have a marriage
in Gefahr bringen,"to endanger, jeopardize (AKK)"
eine Rede halten,to give a speech
ein Versprechen halten,to keep a promise
zustande kommen,"to come about, emerge"
imstande sein,"to be able, capable (with sein)"
in Stimmung sein,"to be up for something, in the mood for"
infrage stehen,"to be doubted (bezweifelt werden, with sein)"
einen Kompromiss schließen,to come to a compromise/agreement (sich einigen)
im Streit liegen mit,to be in conflict with (zerstritten sein)
Abschied nehmen von,to say goodbye to (sich verabschieden)
in Angriff nehmen,"to tackle sth, to go about (etwas Schwieriges beginnen)"
Anstoß nehmen an,"to take offense, exception (sich empören)"
Einfluss nehmen auf (AKK),to influence (beeinflussen)
auf der Hand liegen,"to be clear, obvious"
in Ruhe lassen,to leave alone (nicht stören)
im Stich lassen,"to leave someone in need, turn one's back"
außer Acht lassen,to not take into account (nicht berücksichtigen)
in Kraft sein,"to be in effect, force (gelten)"
in der Lage sein,to be in the position (to do something)
vor der Wahl stehen,to face a choice
auf Kritik stoßen,to meet with criticism
Kritik üben an (DAT),to criticize
einen Standpunkt vertreten,to take a stance
den Hut nehmen,to resign from a position
Abstand nehmen,to distance oneself
sich in acht nehmen,"to be careful, look after oneself (emphatic)"
in Aktion treten,to go into action
zu Ansehen gelangen,"to become well-known, to make a name for onself"
Anstoß nehmen an,"to take offense, exception (sich empören)"
Anteil nehmen an,"to take an interest in something, take part in"
im Auge haben,to eye something
in Aussicht stehen,to be in prospect
in Aussicht stellen,to hold out the prospect of (something)
zur Auswahl stehen,"to be on offer, to be available"
in Bedrängnis geraten,"to be in a tough position, to have troubles"
im Begriff sein,to be about to do something
in Besitz nehmen,to take possession of something (forcefully)
in Betracht ziehen,to consider
in Betrieb setzen,"to activate, start a machine"
im Einsatz sein,to be on duty
auf die Folter spannen,to make someone wait unnecessarily (torturously)
im Gange sein,to be underway (a plan)
in Kauf nehmen,"to tolerate, to have to accept"
gewöhnt an (+ A),used to
eifersüchtig auf (+ A),to be jealous of
angewiesen auf (+ A),to be reliant upon
böse auf (+ A),to be mad at
unterteilt in (+ A),to be divided into
adressiert an (+ A),adressed to
schmerzlich für (+ A),to be painful for
wichtig für (+ A),important for
gespannt auf (+ A),to be excited about
wütend auf (+ A),to be extremely angry about
ärgerlich auf (+ A),to be mad at
(un)angenehm für (+ A),(un)pleasant for
bezeichnend für (+ A),"to be characteristic, representative of"
entscheidend für (+ A),crucial for
neidisch auf (+ A),to be envious of
(un)geeignet für (+ A),to be suitable for
(un)schädlich für (+ A),(un)detrimental for
verliebt in (+ A),to be in love with
beunruhigt über (+ A),"to be bothered, perturbed"
entsetzt über (+ A),to be horrified about
anerkannt als,to be recognized as
offen für (+ A),to be open to
arm an (+DAT),"to be poor, lacking in"
reich an (+DAT),"to be rich in, full of"
beteiligt an (+DAT),to have a stake in something
(un)schuld(ig) an (+DAT),to be guilty or innocent of
schuld an (+ DAT),to be guilty of
einverstanden mit,in agreement with
grün vor Neid sein,to be green with envy
nachlässig in (+ DAT),"to be neglectful, careless in"
angesehen bei,to be seen well
(un)bekannt bei,to be (un)known by
aufgeschlossen gegenüber (+ DAT),to be open minded about
verrückt nach,to be crazy about
entschlossen zu,to be resolved to
fähig zu,to be capable of
gut in (+ DAT),to be good at
tüchtig in (+ DAT),"to be competent, efficient, capable"
unerfahren in (+ DAT),to be inexperienced in
unzufrieden mit,to be dissatisfied with
schwenken,"to swivel, rotate"
die Schicht,layer
das Gefälle,gradient
der Kamin,chimney
lichtdurchlässig,transparent
der Dampf,steam
die Rinne,"gutter, trough"
die Neigung,"inclination, tendency"
verdampfen,to evaporate
nachführen,to track
die Nachführung,tracking
das Rohr,"pipe, tube"
der Betrag,amount
die Größenordnung,order of magnitude
schätzungsweise,approximately
beliebig,arbitrary
die Verallgemeinerung,generalisation
die Trägheit,inertia; sloth
der Impuls,"momentum, impulse"
der Kohlenstoff,carbon
berechnen,"to calculate, to bill"
das Gen,gene
das Säugetier,mammal
der Urknall,the big bang
die Kernkraft,nuclear energy
die Beschleunigung,acceleration
die Reibung,friction
träge,inert
die Erhaltung,"conservation (of energy, a species)"
zweifelhaft,dubious
die Vermutung,"assumption, conjecture, guess, surmise"
der Wasserstoff	,hydrogen
das Weltall,universe
der Draht,wire
der Vorgang,process
enthalten,to contain
der Schalter,"counter, switch"
der Stromkreis,circuit
der Sauerstoff,oxygen
der Stickstoff	,nitrogen
dicht,dense
die Dichte,density
gasförmig,gaseous
derzeit,currently
erhalten,"to conserve, to receive"
die Leitfähigkeit,conductivity
schäumen,to foam
der Gefrierpunkt,freezing point
der Faden,thread
die Faser,fiber
das Gehäuse,"housing, casing"
anteilig,"proportionate, proportionately"
die Düse,"jet, nozzle"
verdampfen,to evaporate
verdichten,to compress; to thicken
der Siedepunkt,boiling point
das Rohr,"pipe, tube"
das Erzeugnis,"product, commodity"
erstarren,"to solidify, freeze"
geräuschlos,noiseless
verwerten,"to make use of, exploit"
sieben,to strain (e.g. through a sieve)
die Ausrüstung,equipment
der Querschnitt,cross section
das Raumfahrzeug,spacecraft
die Reibung,friction
verderben,"to spoil, to go bad"
der Rauchmelder,fire alarm
das Bindemittel,adhesive
umkehrbar,reversible
die Anordnung,"arrangement, layout"
erproben,"to test, try out"
ausstoßen,to expel or emit (substance or person)
die Besatzung,crew
die Versorgung,"supply, provisions"
umkreisen,"to orbit, encircle"
die Fernsteuerung,remote controlling
verglühen,to burn up (in the atmosphere)
erfassen,"to gather (e.g. data), conceive mentally"
die Umlaufbahn,orbit
entgegengesetzt,"opposite, opposing"
der Feuerlöscher,fire extinguisher
das Gelände,grounds; terrain
speichern,"to store (energy), to save (data)"
der Strahl,"beam; ray, axis (math)"
der Marschflugkörper,cruise missile
schräg,"aslant, skewed, tilted"
basteln,"to tinker, put things together"
der Beton,concrete
der Ziegel,brick
einsetzen,to deploy (to use)
das Triebwerk,"engine (trains, ships, rockets)"
das Getriebe,"gearbox, transmission, mechanism"
nicht ohne Tücke,not without its hazards
das Geschick,"skill, dexterity"
der Lehm,clay (e.g. for pottery)
die Auslegung,"layout, design"
der Sprengkopf,warhead
das Ventil,valve
senkrecht (zu),vertical (perpandicular to)
Krach machen,to make noise
das Geschoss,"shot, bullet, missile"
tückisch,treacherous
die Kupplung,clutch
die Drehzahl,RPM
der Kasten,"box, crate"
der Schlitz,"slit, slot"
umwandeln in,to transform into
verschleißen,"to wear out, abrade"
verarbeiten,to process
verstellen,"to adjust, disguise (e.g. one's voice)"
die Fläche,area
strömen,"to flow, to stream"
waagerecht,"level, horizontal"
die Vorrichtung,"device, contraption, mechanism"
die Abmessungen,dimensions
sich wölben,to bulge
gewölbt,"arched, domed"
das Gebläse,"blower, fan"
die Schmierung,lubrication
der Umweg,detour
schlagartig,"sudden, abruptly"
der Ruß,soot
das Zahnrad,gear
die Schwankung,fluctuation
die Auspuffgase,exhaust
der Anschluss,"connection (TV, internet), port"
das Kraftwerk,Power Plant
der Elektrolyt,electrolyte
der Damm,small dam
günstige Verhältnisse,favorable conditions
verlaufen,"to proceed, to run"
die Scheibe,disc
spalten,to split
koppeln,"to couple, link up"
erneuerbare Energien,renewable energy
nachwachsend,renewable
die Umkehrung,"reversal, turn around"
etliche,"quite a lot of, several"
außer Kontrolle geraten,to get out of control
herkömmlich,"conventional, standard"
der Verstand,"the mind, intellect"
sämtlich,all; altogether
die Schraube,screw
die Talsperre,big dam
die Energiesparlampe,energy-saving lightbulb
gerinnen,"to coagulate, congeal; clot; curdle"
bewirken,"to effect, bring about"
auslösen,"to spark, to trigger, to cause"
die Brennstäbe,fuel rods
der Kernreaktor,nuclear reactor
die Kernschmelze,nuclear meltdown
die Endlagerung,disposal of nuclear waste
lüften,to ventilate
das Lüften,ventilation
entbehren,"to do without, to lack (like verzichten)"
die Unterdrückung,oppression
politische Überzeugung,political conviction
fliehen vor (DAT),to flee from
das Einwanderungsland,host country
der Zuzug,influx
Asyl erhalten ,to be granted asylum
ausweisen,"to expel, deport from a country"
verständigen,to inform/notify someone
Flüchtlinge aufnehmen,to take in refugees
um Asyl bitten,to apply for asylum
die Rassenunruhen,racial tensions
die Feindseligkeit,hostility
die Ausländerfeindlichkeit,xenophobia
den Groll anfachen,to fuel resentment
die Toleranz,tolerance
das Wiederaufleben,"resurgence, revival"
Ängste ausnutzen,to play on fears
die Sekte,sect
das Gewissen,conscience
"missfallen (missfiel, hat missfallen)","to displease, displeasure"
verehren,"to worship, idolize, venerate"
der Gläubige,believer
die Lehre,doctrine
sich abkapseln von,to isolate oneself from
das Kopftuch,head scarf
sich einleben in,to settle down
der Rassenkrawall,race riot
der Wahlkampf,election campaign
anbeten,"to worship, adore"
die Moschee,mosque
der Pfarrer,"pastor, priest"
verschärfen,"to heighten, intensify"
das Industrieland,industrialized country
schikanieren,"to harass, persecute; pick on (starts with ""s"")"
die Sünde,sin
der Aberglaube,superstitution
predigen,to preach
weltlich,secular
das Altertum,antiquity
die Kleinkriminalität,petty crime
obdachlos,homeless
erbärmlich,"wretched, squalid, pitiful"
sich über Wasser halten,"to stay above water, make ends meet"
die Neuzeit,modern times
die Wiedervereinigung,the reunification
die Auferstehung,resurrection
der Teufelskreis,the vicious circle
die Unterschicht,underclass
vergeben,to forgive
Gut und Böse,good and evil
das Abkommen,"agreement, treaty"
anzeigen,to report to the police
verhaften,"to imprison, charge, detain (arrest)"
der Zigeuner,gypsy
die Hölle,hell
die Beichte,confession (in a Catholic church)
die Obdachlosigkeit,homelessness
das Heer,army
der Straßenraub,mugging
die Zehn Gebote,the ten commandments
das Vaterunser,the lords prayer
die Wertorientierung,moral values
das Mittelalter,Middle Ages (MA)
geschichtlich,historical
der Kriegsdienstverweigerer,conscientious objector
die Taufe,christening
ernennen,To appoint
sich verständigen,to come to an agreement on something
dauerhaft,"steady, lasting"
erforderlich,"required, mandatory, obligatory, imperative"
eine Leistung erbringen,"to deliver a performance, render a service"
prinzipiell,"fundamentally, in principle"
die Ausdauer,endurance
das Knochengerüst,skeleton
das Becken,"pelvis, basin, sink"
zusammenstellen,to put together
traben,to trot
zurücklegen,"to put back, to recline"
zügig,"efficient, uninterrupted, speedily"
die Atemnot,breathlessness
die Sauerstoffaufnahme,oxygen uptake
sich halten an,"to adhere to, comply with"
der erhöhte Blutdruck,high blood pressure
einen Herzinfarkt erleiden,to suffer from a heart attack
die Formel,formula
die Spalte,"column, crevice"
anspornen zu,"encourage, stimulate to do, spur on to do something"
eine Tendenz setzt sich fort,a trend/tendency becomes apparent
gemeinnützige Organisationen,NGOs
neue Erkenntnisse gewinnen,to gain new knowledge
die Ausstattung,"infrastructure, equipment"
vernachlässigen,to neglect
ausführlich,"extensively, elaborately"
die Neigung,"inclination, tendency"
die Verteilung,distribution
das Balkendiagramm,bar graph
aufschlüsseln in,"to break something down into, itemize"
das Gefäß,"container, vessel, tank"
rudern,to row
das Doping,drug taking (sport)
die Anstrengung,"exertion, effort, strain"
der Bordstein,curb
der Schaltkasten,switch box
der Beton,concrete
der Asphalt,asphalt
der Ziegelstein,brick
das Kopfsteinpflaster,cobblestone
das Pflaster,pavement
der Gullydeckel,sewer hole covering
der Kanal,channel
der Blumenkübel,big flower pot
der Pfosten,the post
das Gitter,grate
der Bürgersteig,sidewalk
der Steg,"boardwalk, gangplank"
die Fensterbank,window ledge
das Dach,roof
das Dachgeschoß,attic
das Stockwerk,story (of a building)
die Laterne,street light
die Leitplanke,guard rail
der Zebrastreifen,crosswalk
das Geländer,railing
die Rampe,the ramp
das Hindernis,obstacle
der Kreisel,"roundabout, gyroscope"
die Auffahrt,"on ramp, driveway"
die Abfahrt,off ramp
der Seitenstreifen,"breakdown lane, shoulder"
die Allee,"avenue, boulevard"
die Bank,"bench, bank"
der Springbrunnen,fountain
der Baggersee,excavated or dredged pond/lake
der Fahrradweg,bicycle path (not on the street)
die Fahrradspur,bike lane (in traffic)
die Schiene,railroad/straßenbahn track
die Schranke,"barrier, gate (e.g. at level crossing)"
der Abwasserkanal,sewer
erforschen,to research
die Akkulaufzeit,battery life
handlich,"handy; managable, pocket sized"
rechtfertigen,to justify
die Fernsehsendung,TV program
der Bildschirm,monitor
der Flachbildschirm,flat screen
die Textverarbeitung,word processing
forschen über,to research on
tragbar,portable
schnurlos,cordless
fachübergreifend,interdisciplinary
die Festplatte,hard drive
das Reagenzglas,test tube
die Datenbank,database
der Perspektivwechsel,change of perspective
Datenkopien erstellen,to make a back up copy of a computer
die Bewusstseinsänderung,the change of awareness
der Bildschirm,monitor
aufrufen,"to open, call up (a web page)"
der Moralkodex,moral code
die Tastatur,keyboard
die Effektivitätssteigerung,gain in efficiency
erheblich,"considerable, substantial, important"
hinterherhinken,to lag behind
das Ladegerät,recharger
abstürzen,"to fall, plummet, crash (a computer, eg)"
die Patrone,ink cartridge
der Speicher,storage (e.g. computer memory)
durchstöbern,to browse the web
das Gefahrenmoment,the potential danger
die unvorhersehbaren Folgen,unforseeable consequences
die Wissensexplosion,the information explosion
die Klangkulisse,audio backdrop
die Moralvorstellungen,moral values
Gott spielen,to play God
weltumspannend,"global, worldwide (spanning the world)"
im Endeffekt,"in the end, final analysis"
"es besteht die Gefahr, dass...","there is the danger, that..."
der Durchbruch,breakthrough
ein Eingriff in die Privatsphäre,an invasion of privacy
anwenderfreundlich,user friendly
der Nachschub,supplies (with n)
Grenzüberschreitend,transnational (breaking boundaries)
von fragwürdigem Wert,of questionable moral value
in absehbarer Zeit,in the foreseeable future
die Doppelmoral,double standard
durchdringen,"to penetrate, pervade"
weiterleben,to live on
tiefsinnig,profound
der Übertritt,"trespass, conversion"
die Zukunftsplanung,planning for the future
irrtümlich,"mistakenly, erroneously"
moralisch nicht vertretbar,morally indefensible
die moralischen Bedenken,the moral considerations
umschalten,to turn to (TV station)
die Zukunftstechnologien,next generation technologies
die Machbarkeit,"feasibility, producibility"
die künstliche Intelligenz,artificial intelligence
missbrauchen,to abuse
audiovisuell,audiovisual
die Fernbedienung,remote control
durch Ausprobieren,by trial and error
beängstigend,"alarming, frightening"
eine Krankheit ausmerzen,to eradicate a disease
der Kranke,sick person
verunglücken,to have an accident
die Geschlechtskrankheit,sexually transmitted disease
anfällig (für),prone/susceptible 
ansteckend,infectious
wohlauf sein,to be fit and healthy
die Ballaststoffe,fiber (always pl)
die Fettleibigkeit,obesity
Krebserregend,carcinogenic
sich trimmen,to get fit
die Periode,period
vorbeugen ist besser als heilen,prevention is better than cure
die Frischkost,fresh food
der Hirntod,brain death
fettleibig,obese
Selbstmord begehen,to commit suicide
der Keim,"germ, seed"
das Virus,virus
strenge Bettruhe verordnen,to order strict bedrest
die Zuckerkrankheit,diabetes
der Organismus,organism
die Körperpflege,personal hygiene
der Chirurg,surgeon
die Bänder,ligaments
röntgen,to xray
die Verpflanzung,transplant
ohnmächtig werden,to faint
das Pflegeheim,nursing / care home
im Sterben liegen,to be dying
der Stuhlgang,bowel movement; stool (faeces)
im Vollbesitz seiner geistigen Kräfte sein,to be in full possession of ones mental faculties
der Qualm,thick cloud of smoke
der Altersschwachsinn,dementia
die Blutübertragung,blood transfusion
narkotisieren,"to anaesthetise, narcotise (med.)"
der Erreger,pathogen
der Kettenraucher,chain smoker
deprimiert sein,to be depressed
die Scheide,"vagina, sheath, scabbard"
die Magersucht,anorexia
einen Nervenzusammenbruch erleiden,to suffer a nervous breakdown
husten,to cough
die Immunschwäche,immune deficiency
das Abwehrsystem,immune / defence system
paffen,to puff on (e.g. a cigarette)
weitsichtig,far-sighted
der Infizierte,infected person
das Passivrauchen,passive smoking
stechen,"to prick, sting"
die Suchtkrankheit,addiction
die Tropfen,drops
geisteskrank,mentally ill
sich (dat) das Rauchen abgewöhnen,to give up smoking
abtreiben,to have an abortion
das Nikotin,nicotine
sich betrinken,to get drunk
tödlich,fatal
kurzsichtig,near-sighted
das Glied,"limb, member"
der Blutalkoholspiegel,blood-alcohol level
der Schwerbeschädigte,severely disabled person
die Hemmungen,inhibitions
die Trunksucht,alcoholism
der Betroffene,the affected person
die Genmanipulation,genetic engineering
die Plombe,filling
plombieren,to fill (a tooth)
das Rauchverbot,smoking ban
züchten,to breed
überweisen,"to refer (e.g. to a specialist), transfer money"
die Vorbeugung,prevention
das Attest,doctors certificate (to excuse absences)
die Salbe,ointment/cream
aufrufen zu,to call upon someone to do something
der Aufruf,"call, invocation, appeal"
die Anekdote,anecdote
der Bedarf kann nicht bedeckt werden,the demand/need cannot be met
lebensrettend,life-saving
der Befürworter,"proponent, supporter"
die Übelkeit,nausea
das Laufband,treadmill
befürworten,"support, recommend, advocate"
der Gesundheitswahn,health craze
die Ausgeglichenheit,"equilibrium, balance"
angeben,(1) to boast; (2) to state (officially)
die Kampagne,campaign
die Schonkost,bland diet
das Magengeschwür,stomach ulcer
die Blinddarmentzündung,appendicitis
spürbar,"noticeable, perceptible"
die Kraftlosigkeit,"debility, feebleness"
die Schlaflosigkeit,insomnia
von der Stange,"run of the mill, cookie-cutter"
gut bekömmlich,"agreeable, (easy to digest)"
versauen,"to mess something up, ruin, spoil"
der Hexenschuss,lumbago (terrible low back pain)
"(sich) unterziehen (unterzog, hat unterzogen)","to undergo, to subject someone to something"
der Händedruck,handshake
bedauerlicherweise,regrettably
negieren,to negate
reizen,to irritate or provoke
absterben,to die off
die Hand schütteln,to shake someone's hand
der Sachverhalt,issue; facts of the case
die Vorsorgeuntersuchung,check up
der Bandscheibenvorfall,herniated disc
missbilligen,"to disapprove, to frown down upon something"
die Einatmung,"inhalation, respiration"
die Nerven verlieren,to lose one's nerves
die Anfälligkeit,susceptibility
das Stadium,stage (of a disease)
präventiv,preventive
abwehren,"to repel, to fend, to fight off"
aushalten,"to endure, bear (like ertragen)"
empfindlich sein gegenüber,to be sensitive to
verinnerlichen,to internalize
belustigen,to amuse
sich an etwas verschlucken,to choke on something
lebensmüde,"tired of life, suicidal"
desinfizieren,to disinfect
die Erbkrankheit,"genetic, inherited disease"
der Ausbruch,outbreak (of a disease)
verzögern,"to delay, slow down"
die Sterblichkeit,mortality
der Krebsauslöser,cancer causing agent
die Blutgefäße,blood vessels
jemanden in mein Herz schließen,someone has a place in my heart
etwas nicht übers Herz bringen,to not have the heart to do something
die Arrhythmie,arrhythmia
der Puls,pulse
das Herz (jemandem) brechen,to break someones heart
der Leib,body
aus dem Herzen sprechen,to speak from the heart
sich etwas zu Herzen nehmen,to take something to heart
den Schlüssel zum Herzen haben,to have the key to ones heart
das Blut,blood
ein Herz für jemanden haben,to have a big heart for someone
sich ein Herz fassen,to gather courage
der Herzinfarkt,heart attack
mir fiel ein Stein vom Herzen,it was a weight off my shoulders
das Herz rutschte mir in die Hose,my heart was in my mouth
das Organ,organ
mein Herz ausschütten,to pour my heart out
etwas liegt mir am Herzen,"something is close to your heart, important"
das Kardiogramm,cardiogram
der Blutegel,leech
das Känguru,kangaroo
der Pinguin,penguin
das Lebewesen,"creature, animate being"
die Schnauze,snout
das Maul,mouth (animal)
bellen,to bark
der Käfig,cage
der Flügel,"wing, blade, vane"
der Schnabel,beak
die Schildkröte,turtle
das Tierreich,animal kingdom
das Beutetier,prey (animal)
besamen,to inseminate (zool.)
das Skelett,"skeleton (with s, not k)"
dressieren,to train (an animal); to drill
kaltblütig,cold-blooded
kaltherzig,cold hearted
warmherzig,warm hearted
irdisch,"temporal, terrestial, mundane, worldly"
das Fell,coat (of an animal)
die Schnurrhaare,whiskers
die Mähne,mane
das Nagetier,rodent
das Meerschweinchen,guinea pig
das Murmeltier,marmot
der Biber,the beaver
das Stachelschwein,porcupine
die Behaarung,"coat, fur or wool (animal); pubescence"
die Wachtel,quail
der Strauß,ostrich (and bouquet)
die Nachtigall,nightingale
der Fleischfresser,carnivore
der Pflanzenfresser,herbivore
der Allesfresser,omnivore
das Säugetier,mammal
das Erdmännchen,meerkat
die Knospe,bud
die Missernte,failure of crops
die Verdunstung,evaporation
die Tulpe,tulip
das Stroh,straw
der Blumenstrauß,bouquet
der Hafer,oat
fällen,to cut down (fell a tree)
das Moos,moss; dough (money - colloquial)
der Rasen,lawn
das Korn,grain
der Strauch,shrub
die Gerste,barley
der Ast,branch
der Stachel,"barb, quill, stinger"
der Zweig,"branch, twig"
die Nelke,"carnation, clove"
der Roggen,rye
der Stängel,stem
die Tanne,fir tree
der Zapfen,cone (of a tree)
die Trauerweide,weeping willow
die Eiche,oak
die Pappel,poplar
der Ahorn,maple
die Buche,beech tree
der Stamm,trunk of a tree
die Borke,bark of a tree
die Blüte,blossom
die Blütezeit,"blossom time, heyday"
die Fruchtbildung,fruiting
der Reifeprozess,ripening
die Vollreife,full ripeness
der Kolben,"cob (of corn), piston"
die Stärke,"starch, strength"
die Hülle,husk of a seed
die Narzisse,daffodil
der Mohn,poppy
die Abgabe von Sauerstoff,release of oxygen
die Flechte,lichen
der Ultraschall,Ultrasound
die Maßeinheit,unit of measurement
fossile Energiequellen,fossil fuel sources
Kohlendioxid freisetzen,to release C02
die Weltmeere ,the world's oceans (plural)
der Treibhauseffekt,the greenhouse effect
vorwegnehmen,"to anticipate, to forestall"
der Zeitraum,period of time
sich abkühlen,to cool off
der Umlauf,circulation
die Algen,algae
die Photosynthese,photosynthesis
lokalisieren,"to pinpoint, localise"
weshalb,"why, for which, which is why"
der Berghang,"mountainside, slope"
die Hecke,hedge
huschen,"to dart, flit, scamper"
lähmen,"to paralyze, cripple"
das Laub,"leaves, foliage"
der Wipfel,treetop
die Lawine,avalanche
die Orkanstärke,hurricane force
der Monsun,monsoon
der Vulkanausbruch,volcanic eruption
die Gletscherschmelze,glacial meltdown
der Taifun,typhoon
der Vorbote,"herald, forerunner, harbinger"
widerstandsfähig,"resistant, tough, hardy"
das Zutun,"help, cooperation, assistance"
das Windrad,wind turbine
das Zedernholz,cedar
taumeln,"to lurch, tumble, wobble"
umweltfreundlich,environmentally friendly
der CO2 Fußabdruck,carbon footprint
freisetzen,to release
gefährden,to endanger
das Ozonloch,ozone hole
vorsorglich,precautionary
die Flutwelle,tidal wave
der Naturhaushalt,ecological balance
sich anstrengen,"to labor, endeavor, exert oneself, increase ones efforts"
das Abwasser,sewage
sparsam umgehen,to use something economically
das Umweltbewusstsein,environmental awareness
das Abschmelzen der Polkappen,the melting of ice-caps
die Senkung,reduction (with s)
die Ozonschicht,ozone layer
die Gefährdung (GEN),the danger (to)
der saure Regen,acid rain
der Umweltsünder,polluter
der Umweltverstoß,action that damages the environment
der Benzinverbrauch,fuel consumption
der Ölteppich,oil slick
die Kläranlage,sewage plant
sickern,"to seep, ooze"
die Entwaldung,deforestation
das Naturschutzgebiet,the nature reserve
die Rückstände,residues
die Kartonage,cardboard packaging
die Mehrwegflasche,returnable bottle
die Einwegflasche,non-returnable bottle
die Müllabfuhr,garbage collection
der Schrott,scrap metal
die Verklappung,dumping industrial waste in the ocean
erschöpft werden,"to exhaust (resources), to run out"
die Ölvorräte,oil reserves
die Bucht,"inlet, bay"
die Ebene,"plain (also: level, layer)"
die Halbinsel,peninsula
die Flussmündung,estuary
der Archipel,"archipelago, island group"
der Tiefseeboden,deep sea floor
das Sedimentgestein,sedimentary rock
das metamorphe Gestein,metamorphic rock
das Eruptivgestein,igneous rock
das Epizentrum,epicenter
die Verwerfung (-n),"geological fault, distortion, rejection"
der Lavastrom,lava flow
die Hochebene,plateau
ewiger Schnee,perpetual snow (in mountains)
der Steinschlag,rockfall
die Oase,oasis
der Reif,"hoarfrost, rime"
der Hurrikan,hurricane
der Gletscher,glacier
die Tundra,tundra
der Nadelwald,coniferous forest
der Mischwald,mixed forest
der Laubwald,deciduous forest
der Tropenwald,tropical forest
der Niederschlag,precipitation
das Reisfeld,rice paddy
die Mülldeponie,"garbage dump, landfill"
die Bodendüngung,soil fertilization
der Ölausfluss,oil outflow
das Faulbecken,septic tank
der Grundwasserspiegel,water table
die Seenversauerung,acidification of lakes
anzetteln,"to instigate, to plot"
der Bote,messenger
die Dirne,prostitute
der Dussel,"idiot, dimwit"
die Eingeweide,"innards, intestines, guts"
das Förderband,conveyer belt
der Gebieter,"lord, master, ruler"
der Gefängniswärter,prison guard
der Habicht,hawk
der Jahrgang,"class (of students), vintage (of wine)"
die Kakerlake,cockroach
die Loipe,cross-country skiing course
der Laib,loaf
der Mittäter,accomplice
der Nachzügler,"late-comer, straggler"
nuscheln,"to mumble, slurr"
die Ohrfeige,slap in the face
der Passant (die Passantin),passer-by
der Papagei,parrot
prägen,"to shape, to stamp"
die Pritsche,"platform (truck), pallet"
der Proviant,"provisions, victuals"
die Rasur,"shave, shaving"
die Rückendeckung,"rear cover, backup support"
der Samenerguss,ejaculation
schmausen,"to feast, eat heartily"
der Schmu,the swindle
sittenwidrig,immoral
der Speichel,saliva
die Spüle,kitchen sink
die Spule,"spool, coil, reel"
der Tadel,"blame, reproach"
das Techtelmechtel,love affair
der Untertan,subject (of a king)
veräppeln,"to kid around, to play a prank"
die Vergewaltigung,rape
verjähren,"to fall under the statute of limitations, to lapse"
verhüten,to prevent
die Warze,wart
das Warzenschwein,warthog
die Witterung,weather (atmospheric conditions)
das Zahnfleisch,the gums of teeth
der Zoll,"duty, tariff"
der Zyniker,cynic
sich erkundigen über,"to inquire about, ask after"
gereizt,"irritable, riled"
sich anpassen an,"to fit in, conform to"
zuvorkommend,"courteous, obliging"
verlegen,(1) to postpone (eine Besprechung) (2) misplace
voraus haben (jdm etwas),to have an advantage over someone or something
sich fortpflanzen,"to breed, reproduce, recreate"
die Fortpflanzung,"reproduction, propagation"
den großen Anklang finden,"to find approval, success"
der Gesichtspunkt,"viewpoint, angle"
begegnen,"to come across, encounter"
wechselseitig,"reciprocally, two-way"
das Handlungsfeld,"sphere of activity, Bereich"
die Fachkraft,"professional, specialist, skilled employee"
abweisend,"dismissive, repellant, unwelcoming"
sich entziehen,"to elude, escape, evade"
verschlossen,"uncommunicative, closed off"
Vergleiche ziehen / anstellen / vornehmen,to draw comparisons
unterbewerten,to understate the value of something
abwerten,to devalue (eine Währung)
jeweilig,"particular, respective"
bestrebt sein,to strive or aim to do something
die Sinnhaftigkeit,the state of having meaning or purpose; sense of direction
gleichwertig,equal value
der Stoffwechsel,metabolism
bedürfen (+ Gen),"to deserve, need, require"
ein Instrument begleiten,to accompany someone (e.g. on the piano)
vertraut sein mit,"to be familiar with something (ein Instrument, zB)"
der Zusammenklang,"accord, harmony"
musizieren,to make music
wiedergeben,"to recite, translate, play back"
bedingen,"to cause, require"
die Partitur,musical score
die Ausdehnung,"expansion, extension"
voraussetzen,(1) to assume; (2) to require
"bevorstehen (stand bevor, bevorgestanden)","to pend, be imminent"
aufwerfen,"to bring up, raise (ein Problem, zB)"
etwas als gegeben voraussetzen,to take something for granted
die Gattung,"genus; species; kind, type; artform; (Literatur) genre"
die Begattung,"mating, copulation"
räuberisch,predatory
die Aussage,"statement, assertion, testimony"
die Äußerung,"utterance, remark, statement"
der Beweis (für),evidence
