"""bundesland"",""bezirk"",""gemeinde"",""gem_id"",""gem_plz"",""city"",""ort_plz"",""bu_lat"",""bu_lon"",""be_lat"",""be_lon"",""g_lat"",""g_lon"",""lat"",""lon"""
"Burgenland,""Eisenstadt Umgebung"",""Wulkaprodersdorf"",10319,7041,""Vulkaprodrštof"",""7041"",47.4743,16.5791,47.85458,16.576139,47.795965,16.501023,47.795965,16.501023"
"Burgenland,""Eisenstadt Umgebung"",""Loretto"",10320,2443,""Loretto"",""2443"",47.4743,16.5791,47.85458,16.576139,47.915105,16.516075,47.915105,16.516075"
"Burgenland,""Eisenstadt Umgebung"",""Stotzing"",10321,2443,""Stotzing"",""2443"",47.4743,16.5791,47.85458,16.576139,47.907116,16.544058,47.907116,16.544058"
"Burgenland,""Eisenstadt Umgebung"",""Zillingtal"",10322,7034,""Zillingtal"",""7033"",47.4743,16.5791,47.85458,16.576139,47.815091,16.408612,47.815091,16.408612"
"Burgenland,""Eisenstadt Umgebung"",""Zillingtal"",10322,7034,""Zillingtal"",""7034"",47.4743,16.5791,47.85458,16.576139,47.815091,16.408612,47.815091,16.408612"
"Burgenland,""Eisenstadt Umgebung"",""Zillingtal"",10322,7034,""Zillingtal"",""7035"",47.4743,16.5791,47.85458,16.576139,47.815091,16.408612,47.815091,16.408612"
"Burgenland,""Eisenstadt Umgebung"",""Zillingtal"",10322,7034,""Celindof"",""7033"",47.4743,16.5791,47.85458,16.576139,47.815091,16.408612,47.815091,16.408612"
"Burgenland,""Eisenstadt Umgebung"",""Zillingtal"",10322,7034,""Celindof"",""7034"",47.4743,16.5791,47.85458,16.576139,47.815091,16.408612,47.815091,16.408612"
"Burgenland,""Eisenstadt Umgebung"",""Zillingtal"",10322,7034,""Celindof"",""7035"",47.4743,16.5791,47.85458,16.576139,47.815091,16.408612,47.815091,16.408612"
"Burgenland,""Eisenstadt Umgebung"",""Zagersdorf"",10323,7011,""Zagersdorf"",""7011"",47.4743,16.5791,47.85458,16.576139,47.764927,16.512904,47.764927,16.512904"
"Burgenland,""Eisenstadt Umgebung"",""Zagersdorf"",10323,7011,""Cogrštof"",""7011"",47.4743,16.5791,47.85458,16.576139,47.764927,16.512904,47.764927,16.512904"
"Burgenland,""Güssing"",""Bocksdorf"",10401,7551,""Bocksdorf"",""7551"",47.4743,16.5791,47.059377,16.323944,47.143107,16.178634,47.143107,16.178634"
"Burgenland,""Güssing"",""Burgauberg-Neudauberg"",10402,8291,""Burgauberg"",""8291"",47.4743,16.5791,47.059377,16.323944,47.164343,16.122346,47.160569,16.124906"
"Burgenland,""Güssing"",""Burgauberg-Neudauberg"",10402,8291,""Neudauberg"",""8292"",47.4743,16.5791,47.059377,16.323944,47.164343,16.122346,47.164343,16.122346"
"Burgenland,""Güssing"",""Eberau"",10403,7521,""Eberau"",""7521"",47.4743,16.5791,47.059377,16.323944,47.107911,16.459791,47.107911,16.459791"
"Burgenland,""Güssing"",""Eberau"",10403,7521,""Gaas"",""7521"",47.4743,16.5791,47.059377,16.323944,47.107911,16.459791,47.081465,16.463134"
"Burgenland,""Güssing"",""Eberau"",10403,7521,""Kroatisch Ehrensdorf"",""7522"",47.4743,16.5791,47.059377,16.323944,47.107911,16.459791,47.117391,16.402392"
"Burgenland,""Güssing"",""Eberau"",10403,7521,""Kulm im Burgenland"",""7521"",47.4743,16.5791,47.059377,16.323944,47.107911,16.459791,47.103721,16.451056"
"Burgenland,""Güssing"",""Eberau"",10403,7521,""Winten"",""7521"",47.4743,16.5791,47.059377,16.323944,47.107911,16.459791,47.117576,16.44458"
"Burgenland,""Güssing"",""Gerersdorf-Sulz"",10404,7542,""Gerersdorf bei Güssing"",""7542"",47.4743,16.5791,47.059377,16.323944,47.072993,16.252911,47.068462,16.252906"
"Burgenland,""Güssing"",""Gerersdorf-Sulz"",10404,7542,""Rehgraben"",""7540"",47.4743,16.5791,47.059377,16.323944,47.072993,16.252911,47.080556,16.236957"
"Burgenland,""Güssing"",""Gerersdorf-Sulz"",10404,7542,""Sulz im Burgenland"",""7540"",47.4743,16.5791,47.059377,16.323944,47.072993,16.252911,47.074174,16.269404"
"Burgenland,""Güssing"",""Gerersdorf-Sulz"",10404,7542,""Sulz im Burgenland"",""7542"",47.4743,16.5791,47.059377,16.323944,47.072993,16.252911,47.074174,16.269404"
"Burgenland,""Güssing"",""Güssing"",10405,7540,""Glasing"",""7540"",47.4743,16.5791,47.059377,16.323944,47.059377,16.323944,47.043192,16.358773"
"Burgenland,""Güssing"",""Güssing"",10405,7540,""Güssing"",""7540"",47.4743,16.5791,47.059377,16.323944,47.059377,16.323944,47.059377,16.323944"
"Burgenland,""Güssing"",""Güssing"",10405,7540,""Krottendorf"",""7540"",47.4743,16.5791,47.059377,16.323944,47.059377,16.323944,47.05985,16.307714"
"Burgenland,""Güssing"",""Güssing"",10405,7540,""Sankt Nikolaus"",""7540"",47.4743,16.5791,47.059377,16.323944,47.059377,16.323944,47.048074,16.327415"
"Burgenland,""Güssing"",""Güssing"",10405,7540,""Steingraben"",""7540"",47.4743,16.5791,47.059377,16.323944,47.059377,16.323944,47.063813,16.277697"
"Burgenland,""Güssing"",""Güssing"",10405,7540,""Steingraben"",""7542"",47.4743,16.5791,47.059377,16.323944,47.059377,16.323944,47.063813,16.277697"
"Burgenland,""Güssing"",""Güssing"",10405,7540,""Urbersdorf"",""7540"",47.4743,16.5791,47.059377,16.323944,47.059377,16.323944,47.056658,16.373678"
"Burgenland,""Güssing"",""Güttenbach"",10406,7535,""Güttenbach"",""7535"",47.4743,16.5791,47.059377,16.323944,47.159515,16.288218,47.159515,16.288218"
"Burgenland,""Güssing"",""Güttenbach"",10406,7535,""Pinkovac"",""7535"",47.4743,16.5791,47.059377,16.323944,47.159515,16.288218,47.159515,16.288218"
"Burgenland,""Güssing"",""Heiligenbrunn"",10407,7522,""Deutsch Bieling"",""7522"",47.4743,16.5791,47.059377,16.323944,47.02709,16.416926,47.011963,16.430519"
"Burgenland,""Güssing"",""Heiligenbrunn"",10407,7522,""Hagensdorf im Burgenland"",""7522"",47.4743,16.5791,47.059377,16.323944,47.02709,16.416926,47.014664,16.455261"
"Burgenland,""Güssing"",""Heiligenbrunn"",10407,7522,""Heiligenbrunn"",""7522"",47.4743,16.5791,47.059377,16.323944,47.02709,16.416926,47.02709,16.416926"
"Burgenland,""Güssing"",""Heiligenbrunn"",10407,7522,""Luising"",""7522"",47.4743,16.5791,47.059377,16.323944,47.02709,16.416926,47.014221,16.479479"
"Burgenland,""Güssing"",""Heiligenbrunn"",10407,7522,""Reinersdorf"",""7522"",47.4743,16.5791,47.059377,16.323944,47.02709,16.416926,47.010542,16.392449"
"Burgenland,""Güssing"",""Kukmirn"",10408,7543,""Eisenhüttl"",""7543"",47.4743,16.5791,47.059377,16.323944,47.073917,16.205963,47.104204,16.198327"
